Model,Task,Validation_RMSE_Days,Validation_R2,Holdout_RMSE_Days,Holdout_R2
Gradient Boosting Regressor,Regression,64.52190670744393,-0.15140199735295745,83.7851821811236,-2.898822826336598
Random Forest Regressor,Regression,69.2353793658957,-0.3257717025558944,100.5404610895021,-4.614108589973072
