Model,Task,Validation_PR_AUC,Validation_ROC_AUC,Holdout_PR_AUC,Holdout_ROC_AUC
Random Forest Classifier,Classification,0.19408215141324256,0.9378370537759655,0.26941024120032686,0.9266265024498678
Gradient Boosting Classifier,Classification,0.1355714142410784,0.9217761720655858,0.1343155694477423,0.8810193950295919
Logistic Regression,Classification,0.10508921126410672,0.9459481118602544,0.12406567364202345,0.9288778797831131
