Task,Champion,Selection_Metric,Validation_Metric,Holdout_Primary_Metric,Holdout_Secondary_Metric
Classification,Deep Learning MLP,Validation PR-AUC,0.2860332017641567,0.2676871186187343,0.948719172369424
RUL Regression,Gradient Boosting Regressor,Validation RMSE,64.52190670744393,83.7851821811236,-2.898822826336598
