variable,lower_iqr,upper_iqr,outlier_count,outlier_pct
feed_gas_pressure,64.67110807731859,75.2428319189246,662737,24.12972891888684
lng_output_tph,159.15325310971002,235.10811986015767,309113,11.254559343003132
failure_rate,2.4994287546749945e-05,0.00040742046268315007,292818,10.661271307578431
wear_level,-0.06670229086948459,0.2085538894282582,265496,9.66649894158434
production_efficiency,94.32839287680702,100.49413131547647,265496,9.66649894158434
lubrication_health_index,80.14566972642982,106.35005809077492,265496,9.66649894158434
overall_vibration,1.3154429586835379,4.388320916250142,264704,9.63766284928263
vibration,1.1543543422820814,3.6760220088827484,263245,9.584541815610665
bearing_index,89.10251734414442,104.55914577574708,210759,7.673568153303152
oil_particles_ppm,-7.994190009808422,48.43161751423496,180044,6.555259346425599
load_factor,0.8005039786276467,1.0530635285681138,132151,4.811513173943532
failure_within_7d,0.0,0.0,105849,3.853878199550128
failure_within_72h,0.0,0.0,47044,1.7128347553556122
failure_within_24h,0.0,0.0,16239,0.5912491198074099
oil_pressure,-2.7431281509886514,38.23775053127329,14635,0.5328487510549568
discharge_pressure,-4.010394265104351,43.4944221829355,10068,0.36656790062325284
ambient_temperature,19.16865477271695,37.80273706268977,9308,0.33889690295999575
motor_current,-98.60095851157536,652.8932672421724,6867,0.25002202757050823
bearing_temperature,14.866616427652446,120.11229140348559,6860,0.24976716311834665
rpm,-1864.0327001469527,7139.458627017689,6690,0.24357759785156552
cumulative_op_hours,-13286.5,34821.5,0,0.0
commission_year,2010.0,2018.0,0,0.0
asset_age_years,6.496919917864482,14.507871321012999,0,0.0
row_id,-1367756.5,4103421.5,0,0.0
hours_since_maint,-1160.25,2961.75,0,0.0
rul_days,-167.91666666666666,388.75,0,0.0
quality_factor,0.48420143136335164,1.6853672025917776,0,0.0
